"pnhwht12","pnhblk12","phisp12","pntv12","pfb12","polang12","phs12","pcol12","punemp12","pflabf12","pprof12","pmanuf12","pvet12","psemp12","hinc12","incpc12","ppov12","pown12","pvac12","pmulti12","mrent12","mhmval12","p30old12","p10yrs12","p18und12","p60up12","p75up12","pmar12","pwds12","pfhh12"
99.11000061,0.370000005,0,0.340000004,0,0.379999995,69.33000183,10.72999954,11.46000004,52.31000137,22.31999969,19.97999954,12.56000042,7.400000095,48875,20150,11.03999996,83.94999695,10.88000011,1.049999952,478,120400,51.65000153,42.5,24.37999916,19.37000084,6,59.68000031,19.01000023,6.150000095
56.63999939,0,35.22999954,1.730000019,8.010000229,18.72999954,55.25,8.159999847,18.56999969,57.97000122,20.45000076,9.470000267,10.34000015,6.460000038,43068,17994,21.79000092,71.31999969,13.59000015,0,954,116800,48.41999817,67.33000183,29.26000023,17.94000053,9.359999657,46.65999985,28.25,24.69000053
3.75999999,10.89000034,80,0.449999988,43.50999832,80.68000031,74.63999939,4.130000114,12.98999977,58.79999924,9.100000381,6.46999979,2.849999905,14.15999985,31583,11236,28.70999908,38.86999893,15.36999989,60.58000183,598,94500,42.63000107,77.61000061,39.74000168,3.069999933,0.49000001,45.99000168,14.90999985,20.87000084
90.80999756,3.640000105,2.920000076,0.519999981,0.949999988,2.049999952,57,12.97000027,8.020000458,50.06999969,20.26000023,20.19000053,9.909999847,8.270000458,36949,17830,20.87999916,77.91999817,14.21000004,9.710000038,468,82400,68.79000092,49.18999863,22.59000015,22.56999969,7.960000038,53.36000061,21.04999924,11.93999958
91.75,2.089999914,3.099999905,0,2.279999971,6.190000057,43.20999908,14.06000042,7.699999809,66.91999817,26.5,16.79999924,9.130000114,5.860000134,65949,24387,5.800000191,82.54000092,1.820000052,8.800000191,743,178800,23.35000038,64.27999878,32.5,11.64000034,3.900000095,59.11000061,12.88000011,8.279999733
75.08000183,3.059999943,7.920000076,2.25,8.300000191,11.78999996,10.30000019,66.44000244,6.53000021,75.98999786,55.36000061,2.869999886,5.590000153,8.770000458,52185,48368,7.25,22.86000061,8.25,92.75,948,378500,79.30999756,83.83000183,4.289999962,18.81999969,7.309999943,30.87000084,15.11999989,3.24000001
76.69000244,0.970000029,18.54999924,0.079999998,5.809999943,11.34000015,23.40999985,40.45000076,2.279999971,55.13000107,54.91999817,4.260000229,10.68000031,9.510000229,62262,34838,1.690000057,88.26000214,1.309999943,6.360000134,728,267900,71.58999634,44.70000076,16.94000053,29.35000038,8.470000267,65.01999664,20.46999931,8.529999733
87.62999725,0.600000024,8.149999619,0.349999994,3.670000076,12.68000031,52.54999924,20.39999962,5.650000095,57.22999954,31.87999916,28.87000084,6.5,18.13999939,62857,25335,6.409999847,85.22000122,6.550000191,4.090000153,487,151300,61.29000092,51.77999878,31.65999985,19.54999924,8.039999962,63.84999847,10.47999954,2.619999886
75.77999878,0,23.38999939,0,4.46999979,14.32999992,50.72000122,22.67000008,3.49000001,44.99000168,32.5,3.369999886,10.94999981,18.01000023,37895,16801,26.69000053,67.19999695,17.70000076,13.85999966,621,231200,88.34999847,42.83000183,35.68000031,26.61000061,14.56000042,42.31000137,31.09000015,9.920000076
24.5,4.059999943,69.73999786,0.300000012,47.74000168,64.48000336,73.66999817,5.949999809,11.98999977,61.70000076,10.56000042,26.15999985,6.559999943,1.25,45179,14931,27.93000031,71.23000336,4.46999979,6.610000134,1032,119100,65.76999664,65.94999695,32.31000137,7.710000038,1.830000043,51.56000137,12.68000031,8.130000114
3.369999886,15.18999958,81.08999634,0,34.22999954,75.08999634,48.84000015,15.17000008,9.25,61.43000031,25.22999954,3.920000076,3.380000114,7.429999828,42353,19974,15.42000008,6.960000038,1.559999943,100,772,158200,86.37000275,57.99000168,24.31999969,14.67000008,3.75999999,26.61000061,29.20000076,34.84999847
43.72000122,50.88999939,5.21999979,0,2.650000095,3.579999924,70.62999725,12.68000031,5.119999886,36.97000122,24.76000023,13.77000046,7.389999866,9.369999886,31679,16051,31.01000023,79.37000275,19.03000069,1.230000019,325,73500,52.43000031,30.68000031,28.95999908,22.29999924,5.760000229,46.81000137,18.37000084,21.95999908
64.44000244,12.82999992,17.31999969,0.230000004,13.39999962,20.20999908,34.50999832,33.58000183,3.460000038,75.58999634,29.63999939,10.36999989,10.21000004,3.140000105,50172,24519,8.770000458,44.31999969,5.53000021,48.25,640,139700,29.28000069,81.62000275,28.44000053,9.130000114,3.170000076,49.79000092,16.94000053,17.57999992
79.61000061,3.470000029,13.84000015,0,10.81999969,16.45000076,67.83999634,9.06000042,15.60999966,65.48999786,26.47999954,17.31999969,10.64999962,4.769999981,48952,24549,12.10999966,62.5,6.46999979,20.04000092,679,172400,97.33999634,48.33000183,20.23999977,22.18000031,5.260000229,41.99000168,21.64999962,16.07999992
62.09000015,11.52999973,22.28000069,0.370000005,10.18000031,26.97999954,47.04999924,23.96999931,12.68999958,50.33000183,37.13999939,4.440000057,12.14000034,12.81999969,39255,24171,18.03000069,71.66000366,11.89999962,21.45999908,724,154500,61.47999954,62.68000031,18.87000084,24.42000008,11.35000038,42.31999969,25,13.32999992
63.81000137,10.72000027,24.84000015,0.370000005,9.829999924,19.97999954,49.59000015,22.09000015,7.369999886,57.75,23.67000008,5.320000172,7.329999924,7.789999962,23028,17111,33.16999817,0,20.5,91.40000153,505,0,70.36000061,92.90000153,12.65999985,23.37999916,6.21999979,24.21999931,33.22000122,25.96999931
0.769999981,98.98000336,0,0,0,0,59.59000015,8.409999847,21.88999939,47.97000122,16.78000069,8.140000343,7.920000076,4.360000134,27122,12714,42.18999863,34.70999908,24.26000023,80.69999695,651,159600,95.73000336,53.38999939,24.61000061,15.38000011,6.090000153,20.76000023,22.29999924,29.97999954
91.68000031,1.210000038,1.940000057,0,8.039999962,5.440000057,22.78000069,52.50999832,4.079999924,61.11000061,52.90999985,12.35999966,12.35999966,9.569999695,82773,43252,3.50999999,78.5,5.110000134,19.72999954,977,202400,49.34999847,49.41999817,22.34000015,25.85000038,8.090000153,60.59000015,17.55999947,6.789999962
95.66000366,0.330000013,2.829999924,0.050000001,0.660000026,1.840000033,39.36000061,24.68000031,6.880000114,64.33999634,29.21999931,11.84000015,9.829999924,11.52999973,67346,29180,7.090000153,82.04000092,4.739999771,7.119999886,579,172700,47.06000137,52.77999878,23.72999954,20.92000008,5.230000019,68.62000275,11.39999962,6.25
88.62000275,1.879999995,3.400000095,0.589999974,7.019999981,9.829999924,26.09000015,47.04999924,6.320000172,62.45999908,55.20000076,13.84000015,8.180000305,10.40999985,93199,39465,8.569999695,93.20999908,2.24000001,2.339999914,904,236700,24.07999992,70.87000275,30.54999924,16.32999992,4.079999924,64.23999786,14.82999992,7.769999981
72.16999817,0,25.62000084,0,20.30999947,21.98999977,57.84999847,9.180000305,6.489999771,43.29999924,15.42000008,8,26.53000069,5.929999828,27500,17505,34.29000092,55.66999817,21.04999924,6.050000191,313,56800,46.75,60,16.23999977,28.26000023,4.889999866,54.09999847,18.96999931,7.670000076
84.01000214,0,3.049999952,6.050000191,7.849999905,10.81999969,44.75,24.32999992,6.630000114,67.72000122,26.31999969,5.269999981,10.34000015,10.47000027,63105,26480,16.52000046,66.98000336,4.230000019,16.86000061,682,223500,39.77000046,78.04000092,26.20000076,16.61000061,4.710000038,55.36000061,17.78000069,10.01000023
82.37999725,1.230000019,9.31000042,0,13.97000027,15.25,16.53000069,62.84999847,3.970000029,56.34000015,62.25,9.880000114,5.980000019,18.12000084,118582,64631,4.019999981,83.37000275,5.710000038,16.43000031,1344,572300,64.37999725,39.68999863,24.95999908,25.87999916,6.320000172,61.31000137,14.84000015,8.619999886
9.300000191,75.76999664,14.40999985,0.270000011,3.380000114,13.56999969,69.84999847,1.860000014,21.98999977,64.76000214,18.54999924,7.190000057,9.239999771,4.619999886,25679,11605,39.33000183,44.61000061,11.86999989,8.25,654,92000,72.55999756,63.61999893,32.70999908,11.10000038,3.910000086,24.67000008,30.01000023,38.40000153
95.16000366,0.419999987,4.050000191,0,2.190000057,4.940000057,57.54999924,9.81000042,20.05999947,53.29999924,16.96999931,10.09000015,9.289999962,8.93999958,31017,15344,27.55999947,62.75999832,21.57999992,0,656,26000,18.67000008,68.29000092,25.52000046,18.37000084,5.96999979,41.70999908,22.01000023,20.88999939
3.200000048,64.18000031,30.25,0,29.64999962,35.04999924,52.59999847,22.48999977,14.85000038,50.65999985,34.50999832,0.74000001,4.699999809,4.570000172,38380,17925,24.87000084,31.21999931,8.149999619,81.29000092,684,367000,78.47000122,57.36000061,26.63999939,19.92000008,9.140000343,27.27000046,22.15999985,42.04000092
95.86000061,0,2.109999895,0.090000004,1.679999948,4.78000021,37.45000076,23.12999916,9.079999924,59.86999893,35.36999893,7.21999979,15.93000031,15.73999977,47417,25313,13.11999989,78.11000061,53.43999863,5.440000057,642,155800,69.47000122,45.90999985,24.69000053,25.63999939,7.809999943,54.20000076,21.75,15.30000019
92.31999969,0.939999998,6.050000191,0,8.829999924,18.28000069,37.79000092,33.75999832,9.670000076,66.36000061,36.20999908,11.81999969,6.96999979,11.67000008,101133,39741,3.049999952,85.91999817,2.650000095,9.359999657,1118,574500,91.44999695,42.38999939,18.62000084,25.89999962,12.19999981,63.31999969,10.31999969,2.710000038
92.56999969,0,5.610000134,0,0.75999999,1.690000057,70.94999695,12.77999973,6.739999771,42.59999847,25.75,21.12999916,8.979999542,14.11999989,28784,16209,24.61000061,71.41000366,10.17000008,3.519999981,292,46100,74.12000275,55.83000183,23.13999939,21.04999924,7.570000172,40.74000168,34.06000137,21.95999908
27.87000084,38.36000061,32.09000015,0,18.72999954,29.86000061,63.75,12.47000027,8.279999733,51.06999969,18.82999992,20.10000038,4.400000095,5.289999962,24681,13068,45.90999985,42.18000031,19.70000076,30.17000008,434,62100,58.47000122,72.16000366,25.76000023,14.35999966,5.800000191,32.20000076,22.36000061,25
94.36000061,0.170000002,3.549999952,0.129999995,2.980000019,8.680000305,63.84000015,12.35000038,5.699999809,64.65000153,26.68000031,24.79000092,9.510000229,17.05999947,57028,21915,13.31999969,86.73000336,3.75,3.680000067,480,145400,63.54000092,44.40999985,29.46999931,17.42000008,5.440000057,68.02999878,10.19999981,2.670000076
49.95000076,39.13999939,8.350000381,0,8.380000114,10.23999977,66.20999908,9.25,10.78999996,50.45000076,29.36000061,21.21999931,6.710000038,16.03000069,34271,18029,25.15999985,64.01000214,12.43000031,0.879999995,448,95900,44.18999863,46.70000076,30.32999992,15.13000011,4.510000229,56.84999847,17.13999939,21.53000069
